codigoEquipamiento,idTipoEquipamiento,idModelo,fechaAdquisicion
196,7,20,2025-09-14
197,7,7,2026-01-03
198,7,8,2025-12-04
199,7,6,2026-03-24
200,7,18,2025-12-29
201,7,2,2025-10-28
202,7,12,2026-02-15
203,7,20,2026-07-24
204,7,6,2025-11-17
205,7,5,2025-12-24
206,8,13,2025-11-18
207,8,20,2025-08-05
208,8,6,2026-03-27
209,8,14,2026-03-09
210,8,8,2025-10-23
211,8,10,2025-10-06
212,8,5,2025-05-12
213,8,15,2025-07-20
214,8,8,2025-12-27
215,8,1,2026-06-02
216,8,17,2026-05-23
217,8,4,2025-08-08
218,8,17,2025-10-09
219,8,19,2025-10-28
220,8,5,2026-06-26
221,8,13,2026-07-15
222,8,4,2025-12-30
223,8,16,2026-02-18
224,8,20,2026-02-19
225,8,9,2026-07-28
